"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke"
"1","ACAD","1980","01","Acadia NP",8966,2.72375733079144e-10
"2","ACAD","1980","02","Acadia NP",8225,2.28152399750492e-10
"3","ACAD","1980","03","Acadia NP",7505,3.76807585134031e-10
"4","ACAD","1980","04","Acadia NP",182879,6.94325041905586e-10
"5","ACAD","1980","05","Acadia NP",209301,6.50969222970588e-10
"6","ACAD","1980","06","Acadia NP",359552,7.36880112484073e-10
"7","ACAD","1980","07","Acadia NP",533885,3.3003486055172e-10
"8","ACAD","1980","08","Acadia NP",633067,4.01355476631338e-10
"9","ACAD","1980","09","Acadia NP",282636,2.57685567328636e-10
"10","ACAD","1980","10","Acadia NP",332937,2.68475131015578e-10
"11","ACAD","1980","11","Acadia NP",200461,3.38610056660471e-10
"12","ACAD","1980","12","Acadia NP",20252,3.88782089855155e-10
"13","ACAD","1981","01","Acadia NP",23330,2.64027216756446e-10
"14","ACAD","1981","02","Acadia NP",16207,3.01602798291611e-10
"15","ACAD","1981","03","Acadia NP",21923,5.72030978140958e-10
"16","ACAD","1981","04","Acadia NP",188071,5.83376791318813e-10
"17","ACAD","1981","05","Acadia NP",212500,6.48209985687487e-10
"18","ACAD","1981","06","Acadia NP",366518,5.14396913953163e-10
"19","ACAD","1981","07","Acadia NP",545981,1.82111853375133e-10
"20","ACAD","1981","08","Acadia NP",616233,1.2788514691664e-10
"21","ACAD","1981","09","Acadia NP",463823,2.39136099811077e-10
"22","ACAD","1981","10","Acadia NP",313788,3.19053256037094e-10
"23","ACAD","1981","11","Acadia NP",203741,2.38635972094059e-10
"24","ACAD","1981","12","Acadia NP",25857,2.21312884685076e-10
"25","ACAD","1982","01","Acadia NP",21425,3.51125045705558e-10
"26","ACAD","1982","02","Acadia NP",22210,6.40930031270415e-10
"27","ACAD","1982","03","Acadia NP",36866,5.63735336189808e-10
"28","ACAD","1982","04","Acadia NP",193208,8.43698999553055e-10
"29","ACAD","1982","05","Acadia NP",261452,1.06019337753338e-09
"30","ACAD","1982","06","Acadia NP",404915,5.49600809307549e-10
"31","ACAD","1982","07","Acadia NP",737860,4.57887616711616e-10
"32","ACAD","1982","08","Acadia NP",574164,3.96457089379965e-10
"33","ACAD","1982","09","Acadia NP",541721,3.33941985175557e-10
"34","ACAD","1982","10","Acadia NP",446170,2.55709675656135e-10
"35","ACAD","1982","11","Acadia NP",303753,3.20430071365507e-10
"36","ACAD","1982","12","Acadia NP",28370,2.75205053190675e-10
"37","ACAD","1983","01","Acadia NP",23771,1.7953216691069e-10
"38","ACAD","1983","02","Acadia NP",24667,2.44495951262635e-10
"39","ACAD","1983","03","Acadia NP",25576,3.89791504629144e-10
"40","ACAD","1983","04","Acadia NP",207347,5.12073161651472e-10
"41","ACAD","1983","05","Acadia NP",287861,8.14072254051723e-10
"42","ACAD","1983","06","Acadia NP",435142,7.47239881082606e-10
"43","ACAD","1983","07","Acadia NP",916474,2.98565505651993e-10
"44","ACAD","1983","08","Acadia NP",715624,2.34358338291329e-10
"45","ACAD","1983","09","Acadia NP",668981,2.46354520117009e-10
"46","ACAD","1983","10","Acadia NP",529524,2.93043006527327e-10
"47","ACAD","1983","11","Acadia NP",262444,2.87157575495911e-10
"48","ACAD","1983","12","Acadia NP",27228,2.82122047945421e-10
"49","ACAD","1984","01","Acadia NP",24273,3.13280235086921e-10
"50","ACAD","1984","02","Acadia NP",26185,2.4406854315373e-10
"51","ACAD","1984","03","Acadia NP",37289,3.73774095008272e-10
"52","ACAD","1984","04","Acadia NP",229638,7.34410920966155e-10
"53","ACAD","1984","05","Acadia NP",271964,8.85852946552745e-10
"54","ACAD","1984","06","Acadia NP",458908,4.87155316086785e-10
"55","ACAD","1984","07","Acadia NP",790392,4.66505167828757e-10
"56","ACAD","1984","08","Acadia NP",865843,3.36701000414052e-10
"57","ACAD","1984","09","Acadia NP",443622,2.93577773202713e-10
"58","ACAD","1984","10","Acadia NP",361873,3.62388091756927e-10
"59","ACAD","1984","11","Acadia NP",194735,4.42483438778396e-10
"60","ACAD","1984","12","Acadia NP",30041,4.45272069216074e-10
"61","ACAD","1985","01","Acadia NP",31360,3.0338606626934e-10
"62","ACAD","1985","02","Acadia NP",23261,3.74450775941781e-10
"63","ACAD","1985","03","Acadia NP",46315,8.93051688155566e-10
"64","ACAD","1985","04","Acadia NP",261410,9.25277299224092e-10
"65","ACAD","1985","05","Acadia NP",341775,1.19911935936301e-09
"66","ACAD","1985","06","Acadia NP",432926,7.36450123106636e-10
"67","ACAD","1985","07","Acadia NP",725951,4.86222395679192e-10
"68","ACAD","1985","08","Acadia NP",816294,3.52247037094244e-10
"69","ACAD","1985","09","Acadia NP",451026,4.35634528450635e-10
"70","ACAD","1985","10","Acadia NP",373037,4.81743589464401e-10
"71","ACAD","1985","11","Acadia NP",206970,4.4424622314132e-10
"72","ACAD","1985","12","Acadia NP",35245,2.65739402705023e-10
"73","ACAD","1986","01","Acadia NP",28369,2.85117540688162e-10
"74","ACAD","1986","02","Acadia NP",33055,2.69424815790842e-10
"75","ACAD","1986","03","Acadia NP",47390,6.23510854058651e-10
