,X1,UnitCode,Year,Month,ParkName,RecreationVisits,Smoke,stdsmoke,Season,CatColS,CatColM
1,1,ACAD,1980,1,Acadia NP,8966,2.72E-10,-0.378820119,Winter,ACADWinter,ACAD01
2,11,ACAD,1980,11,Acadia NP,200461,3.39E-10,-0.359705597,Fall,ACADFall,ACAD11
3,21,ACAD,1981,9,Acadia NP,463823,2.39E-10,-0.388412724,Fall,ACADFall,ACAD09
4,31,ACAD,1982,7,Acadia NP,737860,4.58E-10,-0.32528336,Summer,ACADSummer,ACAD07
5,41,ACAD,1983,5,Acadia NP,287861,8.14E-10,-0.222492257,Spring,ACADSpring,ACAD05
6,51,ACAD,1984,3,Acadia NP,37289,3.74E-10,-0.349557629,Spring,ACADSpring,ACAD03
7,61,ACAD,1985,1,Acadia NP,31360,3.03E-10,-0.369870866,Winter,ACADWinter,ACAD01
8,71,ACAD,1985,11,Acadia NP,206970,4.44E-10,-0.329220121,Fall,ACADFall,ACAD11
9,81,ACAD,1986,9,Acadia NP,488247,3.83E-10,-0.346880939,Fall,ACADFall,ACAD09
10,91,ACAD,1987,7,Acadia NP,751309,3.15E-10,-0.366578082,Summer,ACADSummer,ACAD07
11,101,ACAD,1988,5,Acadia NP,448299,7.07E-10,-0.253512254,Spring,ACADSpring,ACAD05
12,111,ACAD,1989,3,Acadia NP,74773,8.06E-10,-0.22471978,Spring,ACADSpring,ACAD03
13,121,ACAD,1990,1,Acadia NP,16084,2.93E-10,-0.372786101,Winter,ACADWinter,ACAD01
14,131,ACAD,1990,11,Acadia NP,47633,5.01E-10,-0.312833472,Fall,ACADFall,ACAD11
15,141,ACAD,1991,9,Acadia NP,377904,2.27E-10,-0.391784074,Fall,ACADFall,ACAD09
16,151,ACAD,1992,7,Acadia NP,539109,2.32E-10,-0.390393953,Summer,ACADSummer,ACAD07
17,161,ACAD,1993,5,Acadia NP,192823,6.19E-10,-0.278693707,Spring,ACADSpring,ACAD05
18,171,ACAD,1994,3,Acadia NP,29086,6.42E-10,-0.27203528,Spring,ACADSpring,ACAD03
19,181,ACAD,1995,1,Acadia NP,14894,1.83E-10,-0.404625821,Winter,ACADWinter,ACAD01
20,191,ACAD,1995,11,Acadia NP,54121,5.57E-10,-0.296737497,Fall,ACADFall,ACAD11
21,201,ACAD,1996,9,Acadia NP,426562,7.34E-10,-0.245725703,Fall,ACADFall,ACAD09
22,211,ACAD,1997,7,Acadia NP,622847,3.59E-10,-0.353690466,Summer,ACADSummer,ACAD07
23,221,ACAD,1998,5,Acadia NP,148052,8.28E-10,-0.218432935,Spring,ACADSpring,ACAD05
24,231,ACAD,1999,3,Acadia NP,33688,5.12E-10,-0.309675496,Spring,ACADSpring,ACAD03
