"","Park","Year","SingleVisitorEntryFee"
"1","Acadia NP","1980",NA
"2","Acadia NP","1981",NA
"3","Acadia NP","1982",NA
"4","Acadia NP","1983",NA
"5","Acadia NP","1984",NA
"6","Acadia NP","1985",NA
"7","Acadia NP","1986",NA
"8","Acadia NP","1987",NA
"9","Acadia NP","1988",NA
"10","Acadia NP","1989",NA
"11","Acadia NP","1990",NA
"12","Acadia NP","1991",NA
"13","Acadia NP","1992",NA
"14","Acadia NP","1993",NA
"15","Acadia NP","1994",NA
"16","Acadia NP","1995",NA
"17","Acadia NP","1996",NA
"18","Acadia NP","1997",NA
"19","Acadia NP","1998",NA
"20","Acadia NP","1999",NA
"21","Acadia NP","2000",NA
"22","Acadia NP","2001",NA
"23","Acadia NP","2002",NA
"24","Acadia NP","2003",NA
"25","Acadia NP","2004",NA
"26","Acadia NP","2005",NA
"27","Acadia NP","2006",NA
"28","Acadia NP","2007",NA
"29","Acadia NP","2008",NA
"30","Acadia NP","2009",NA
"31","Acadia NP","2010",NA
"32","Acadia NP","2011",NA
"33","Acadia NP","2012",NA
"34","Acadia NP","2013",NA
"35","Acadia NP","2014",NA
"36","Acadia NP","2015",NA
"37","Acadia NP","2016",NA
"38","Acadia NP","2017",NA
"39","Acadia NP","2018",NA
"40","Arches NP","1980",NA
"41","Arches NP","1981",NA
"42","Arches NP","1982",NA
"43","Arches NP","1983",NA
"44","Arches NP","1984",NA
"45","Arches NP","1985",NA
"46","Arches NP","1986",NA
"47","Arches NP","1987",NA
"48","Arches NP","1988",NA
"49","Arches NP","1989",NA
"50","Arches NP","1990",NA
"51","Arches NP","1991",NA
"52","Arches NP","1992",NA
"53","Arches NP","1993",NA
"54","Arches NP","1994",NA
"55","Arches NP","1995",NA
"56","Arches NP","1996",NA
"57","Arches NP","1997",NA
"58","Arches NP","1998",NA
"59","Arches NP","1999",NA
"60","Arches NP","2000",NA
"61","Arches NP","2001",NA
"62","Arches NP","2002",NA
"63","Arches NP","2003",NA
"64","Arches NP","2004",NA
"65","Arches NP","2005",NA
"66","Arches NP","2006",NA
"67","Arches NP","2007",NA
"68","Arches NP","2008",NA
"69","Arches NP","2009",NA
"70","Arches NP","2010",NA
"71","Arches NP","2011",NA
"72","Arches NP","2012",NA
"73","Arches NP","2013",NA
"74","Arches NP","2014",NA
"75","Arches NP","2015",NA
"76","Arches NP","2016",NA
"77","Arches NP","2017",NA
"78","Arches NP","2018",NA
"79","Badlands NP","1980",NA
"80","Badlands NP","1981",NA
"81","Badlands NP","1982",NA
"82","Badlands NP","1983",NA
"83","Badlands NP","1984",NA
"84","Badlands NP","1985",NA
"85","Badlands NP","1986",NA
"86","Badlands NP","1987",NA
"87","Badlands NP","1988",NA
"88","Badlands NP","1989",NA
"89","Badlands NP","1990",NA
"90","Badlands NP","1991",NA
"91","Badlands NP","1992",NA
"92","Badlands NP","1993",NA
"93","Badlands NP","1994",NA
"94","Badlands NP","1995",NA
"95","Badlands NP","1996",NA
"96","Badlands NP","1997",NA
"97","Badlands NP","1998",NA
"98","Badlands NP","1999",NA
"99","Badlands NP","2000",NA
"100","Badlands NP","2001",NA
"101","Badlands NP","2002",NA
"102","Badlands NP","2003",NA
"103","Badlands NP","2004",NA
"104","Badlands NP","2005",NA
"105","Badlands NP","2006",NA
"106","Badlands NP","2007",NA
"107","Badlands NP","2008",NA
"108","Badlands NP","2009",NA
"109","Badlands NP","2010",NA
"110","Badlands NP","2011",NA
"111","Badlands NP","2012",NA
"112","Badlands NP","2013",NA
"113","Badlands NP","2014",NA
"114","Badlands NP","2015",NA
"115","Badlands NP","2016",NA
"116","Badlands NP","2017",NA
"117","Badlands NP","2018",NA
"118","Big Bend NP","1980",NA
"119","Big Bend NP","1981",NA
"120","Big Bend NP","1982",NA
"121","Big Bend NP","1983",NA
"122","Big Bend NP","1984",NA
"123","Big Bend NP","1985",NA
"124","Big Bend NP","1986",NA
"125","Big Bend NP","1987",NA
"126","Big Bend NP","1988",NA
"127","Big Bend NP","1989",NA
"128","Big Bend NP","1990",NA
"129","Big Bend NP","1991",NA
"130","Big Bend NP","1992",NA
"131","Big Bend NP","1993",NA
"132","Big Bend NP","1994",NA
"133","Big Bend NP","1995",NA
"134","Big Bend NP","1996",NA
"135","Big Bend NP","1997",NA
"136","Big Bend NP","1998",NA
"137","Big Bend NP","1999",NA
"138","Big Bend NP","2000",NA
"139","Big Bend NP","2001",NA
"140","Big Bend NP","2002",NA
"141","Big Bend NP","2003",NA
"142","Big Bend NP","2004",NA
"143","Big Bend NP","2005",NA
"144","Big Bend NP","2006",NA
"145","Big Bend NP","2007",NA
"146","Big Bend NP","2008",NA
"147","Big Bend NP","2009",NA
"148","Big Bend NP","2010",NA
"149","Big Bend NP","2011",NA
"150","Big Bend NP","2012",NA
"151","Big Bend NP","2013",NA
"152","Big Bend NP","2014",NA
"153","Big Bend NP","2015",NA
"154","Big Bend NP","2016",NA
"155","Big Bend NP","2017",NA
"156","Big Bend NP","2018",NA
"157","Biscayne NP","1980",NA
"158","Biscayne NP","1981",NA
"159","Biscayne NP","1982",NA
"160","Biscayne NP","1983",NA
"161","Biscayne NP","1984",NA
