"","mean","mcse","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b[stdsmoke UnitCode:ACAD]",-1.21654838137761,0.0133488970276034,0.345278484998595,-1.90960683826764,-1.44984397502433,-1.21712441917704,-0.980597501882574,-0.581682796616681,669,1.01147262016416
"b[stdsmoke UnitCode:ARCH]",0.821191947932366,0.00544004992104667,0.160624685212999,0.50521399191527,0.715231888735071,0.817130127989686,0.930255526794235,1.13977871320402,872,1.00633231801966
"b[stdsmoke UnitCode:BADL]",-0.294540748092287,0.00397138746290371,0.121502901663153,-0.529526080543771,-0.378232789527097,-0.299746288363995,-0.211512275119532,-0.0593831333268684,936,1.00136874381901
"b[stdsmoke UnitCode:BIBE]",0.149228220467412,0.00290212408252653,0.0874421974329336,-0.0155343754309626,0.0885231215207862,0.146217271439243,0.207100832412775,0.328976144906666,908,1.00006705694847
"b[stdsmoke UnitCode:BISC]",0.240872147837602,0.00258843953810877,0.0803268436525498,0.0875270374914028,0.185376809492121,0.241012059580448,0.295447323211365,0.400831926867957,963,1.00619748310679
"b[stdsmoke UnitCode:BLCA]",-0.34567480863605,0.00724529209441845,0.190785397036921,-0.713938782326848,-0.472586021800466,-0.34452120832972,-0.211613375686888,0.0220767263225095,693,1.00134997275183
"b[stdsmoke UnitCode:BRCA]",0.890962073376519,0.00496469467386112,0.147988596906489,0.597183124277198,0.789530566894248,0.891905947818267,0.991750778536767,1.1784944563055,889,1.00526433797312
"b[stdsmoke UnitCode:CANY]",0.722091257942408,0.00537253497232212,0.159314625088431,0.411292144013341,0.615316134832135,0.723573149790865,0.82703530431705,1.04158932399158,879,1.00477879933948
"b[stdsmoke UnitCode:CARE]",0.322990990447968,0.00588253080320198,0.150090396170109,0.0245198838213855,0.21832675664821,0.324440496476711,0.423864737713434,0.612242158414428,651,1.00170728251178
"b[stdsmoke UnitCode:CAVE]",-0.470792243966838,0.00299082827438668,0.0974086039890515,-0.659001697458801,-0.535693542344996,-0.473361215534964,-0.405490872525344,-0.276599683314484,1061,1.0008424280088
"b[stdsmoke UnitCode:CHIS]",0.605748372774522,0.00424882469338227,0.133262315008338,0.343500084030147,0.514952994971143,0.605853549940639,0.696414705868224,0.863649072882609,984,1.00623357323624
"b[stdsmoke UnitCode:CONG]",0.979715066011117,0.00440762375128213,0.153324945120943,0.68051686863638,0.877800857543693,0.976167552940944,1.07935245943403,1.29530817426689,1210,1.00083512796365
"b[stdsmoke UnitCode:CRLA]",0.0749254807211341,0.00716668461290869,0.18959093674819,-0.286198255299842,-0.0558854343658173,0.0726963163221542,0.200231203361097,0.446079147389006,700,1.00325045629399
"b[stdsmoke UnitCode:CUVA]",0.954942483093263,0.00539395341685054,0.177173535953006,0.617762411470689,0.832454258853863,0.952555337776141,1.07219077022727,1.30939428620183,1079,1.0034557323077
"b[stdsmoke UnitCode:DENA]",0.536794316149502,0.0156195651434075,0.413762425586699,-0.2515900593288,0.258900281664604,0.533382500719433,0.817954193451456,1.35315818771402,702,1.00482932804919
"b[stdsmoke UnitCode:DEVA]",0.115401850703244,0.00271661960059752,0.0787118663547544,-0.0388152176132129,0.0621005892926571,0.116544644582451,0.16940650358931,0.267416233656309,840,0.999926762117448
"b[stdsmoke UnitCode:DRTO]",0.542981450624459,0.00189442189187332,0.0804746959776899,0.386715138940374,0.488158404833661,0.542902517734215,0.599098535803655,0.704536052304881,1805,0.999762918495789
"b[stdsmoke UnitCode:EVER]",0.0847195075867916,0.00199277489447668,0.0712871229452936,-0.0546882831831078,0.0363537074542096,0.084061975260119,0.131606222841938,0.2211498609819,1280,1.00282027187737
"b[stdsmoke UnitCode:GAAR]",0.158540519378774,0.0138198566369594,0.407346098695296,-0.637586597348117,-0.118430061342768,0.158239791387375,0.433633524018979,0.953881271168919,869,0.999927425995753
